Time	tn [-]	VHM0 [m]	VTM02 [s]	VEPK [m2 s]	Tref [degrees_C]	TEMP [degrees_C]	Bat [-]	Av [-]	Ax [-]	Ay [-]	Ori [degree]	Incli [degree]	DQF [-]	FQF [-]
2024-11-16T00:01:00.000Z	10	2.260	5.195	5.8544E+00	25.00	13.25	4	0.12750	0.11500	 0.00125	 73.100	69.214	1010000000100000	1
2024-11-16T00:31:00.000Z	10	2.530	5.405	7.1149E+00	25.00	13.25	4	0.12750	0.10375	-0.00250	 29.500	69.170	1010000000100000	1
2024-11-16T01:02:00.000Z	10	2.290	5.333	5.6814E+00	25.00	13.25	4	0.12875	0.10375	-0.01375	  8.400	69.346	1010000000100000	1
2024-11-16T01:31:00.000Z	10	2.510	5.556	9.8473E+00	25.00	13.20	4	0.12750	0.12250	-0.00875	353.000	69.521	1010000000100000	1
2024-11-16T02:01:00.000Z	10	2.420	5.634	6.9046E+00	25.00	13.20	4	0.12625	0.13250	 0.01875	343.100	69.346	1010000000100000	1
2024-11-16T02:32:00.000Z	10	2.330	5.634	6.7679E+00	25.00	13.20	4	0.12750	0.12500	 0.01625	313.600	69.258	1010000000100000	1
2024-11-16T03:01:00.000Z	10	2.400	5.556	7.1506E+00	25.00	13.20	4	0.12750	0.11250	-0.01125	295.300	69.170	1010000000100000	1
2024-11-16T03:31:00.000Z	10	2.270	5.556	4.8413E+00	25.00	13.25	4	0.12875	0.11875	-0.00500	295.300	69.214	1010000000100000	1
2024-11-16T04:02:00.000Z	10	2.350	5.556	8.1433E+00	25.00	13.25	4	0.12750	0.11375	-0.00875	 11.300	69.302	1010000000100000	1
2024-11-16T04:31:00.000Z	10	2.070	5.128	3.8853E+00	25.00	13.25	4	0.12500	0.10875	-0.01125	 81.600	68.862	1010000000100000	1
2024-11-16T05:01:00.000Z	10	2.460	5.333	8.6037E+00	25.00	13.25	4	0.12500	0.13125	-0.02000	 81.600	68.774	1010000000100000	1
2024-11-16T05:32:00.000Z	10	2.170	4.878	4.3588E+00	25.00	13.25	4	0.12375	0.12625	-0.01875	 80.200	68.730	1010000000100000	1
2024-11-16T06:01:00.000Z	10	2.380	5.000	5.9429E+00	25.00	13.25	4	0.12500	0.11750	-0.02125	 99.800	68.730	1010000000100000	1
2024-11-16T06:31:00.000Z	10	2.260	4.938	4.9888E+00	25.00	13.20	4	0.12500	0.12250	-0.02250	 97.000	68.730	1010000000100000	1
2024-11-16T07:02:00.000Z	10	2.270	4.878	5.2973E+00	25.00	13.20	4	0.12375	0.12375	-0.01500	 95.600	68.862	1010000000100000	1
2024-11-16T07:31:00.000Z	10	2.290	4.938	4.8900E+00	25.00	13.20	4	0.12375	0.12125	-0.01875	 97.000	68.818	1010000000100000	1
2024-11-16T08:01:00.000Z	10	2.180	4.878	4.9145E+00	25.00	13.20	4	0.12250	0.12250	-0.01500	 97.000	68.862	1010000000100000	1
2024-11-16T08:32:00.000Z	10	2.260	4.938	4.7932E+00	25.00	13.20	4	0.12500	0.12625	-0.01500	 83.000	68.774	1010000000100000	1
2024-11-16T09:01:00.000Z	10	2.330	4.938	4.1879E+00	25.00	13.20	4	0.12375	0.13000	-0.01625	 88.600	68.862	1010000000100000	1
2024-11-16T09:31:00.000Z	10	2.170	4.878	5.0138E+00	25.00	13.25	4	0.12500	0.10875	-0.01750	105.500	68.818	1010000000100000	1
2024-11-16T10:02:00.000Z	10	2.210	5.000	4.5140E+00	25.00	13.25	4	0.12750	0.11125	-0.01625	 94.200	68.906	1010000000100000	1
2024-11-16T10:31:00.000Z	10	2.200	4.938	4.0438E+00	25.00	13.20	4	0.12750	0.10875	-0.02250	 66.100	68.906	1010000000100000	1
2024-11-16T11:01:00.000Z	10	2.200	5.063	3.7704E+00	25.00	13.20	4	0.12625	0.12375	-0.01750	 52.000	68.994	1010000000100000	1
2024-11-16T11:32:00.000Z	10	2.030	4.878	3.0716E+00	25.00	13.20	4	0.12625	0.12125	-0.01250	 53.400	69.126	1010000000100000	1
2024-11-16T12:01:00.000Z	10	2.090	5.063	4.6052E+00	25.00	13.15	4	0.12625	0.10500	-0.00125	 74.500	69.170	1010000000100000	1
2024-11-16T12:31:00.000Z	10	2.100	5.063	4.2089E+00	25.00	13.15	4	0.12875	0.09750	 0.00250	 50.600	69.170	1010000000100000	1
2024-11-16T13:02:00.000Z	10	2.020	5.128	3.7143E+00	25.00	13.15	4	0.12875	0.09000	-0.00375	 36.600	69.170	1010000000100000	1
2024-11-16T13:31:00.000Z	10	2.110	5.333	3.9836E+00	25.00	13.15	4	0.13000	0.08500	-0.00625	 22.500	69.258	1010000000100000	1
2024-11-16T14:01:00.000Z	10	2.090	5.405	5.1924E+00	25.00	13.15	4	0.12875	0.08750	-0.01375	306.600	69.038	1010000000100000	1
2024-11-16T14:32:00.000Z	10	1.920	5.333	3.4980E+00	25.00	13.15	4	0.12875	0.07875	 0.00375	272.800	68.862	1010000000100000	1
2024-11-16T15:01:00.000Z	10	1.930	5.333	3.9047E+00	25.00	13.15	4	0.12750	0.08750	 0.02750	272.800	68.906	1010000000100000	1
2024-11-16T15:31:00.000Z	10	1.970	5.556	3.9440E+00	25.00	13.15	4	0.12750	0.08250	 0.02125	265.800	68.862	1010000000100000	1
2024-11-16T16:02:00.000Z	10	1.940	5.405	3.4806E+00	25.00	13.15	4	0.12750	0.08625	 0.03125	251.700	68.774	1010000000100000	1
2024-11-16T16:31:00.000Z	10	2.020	5.479	3.5687E+00	25.00	13.15	4	0.12625	0.08500	 0.02750	255.900	68.687	1010000000100000	1
2024-11-16T17:01:00.000Z	10	2.100	5.333	3.8853E+00	25.00	13.15	4	0.12750	0.09250	 0.01500	132.200	68.643	1010000000100000	1
2024-11-16T17:32:00.000Z	10	2.110	5.128	3.5687E+00	25.00	13.15	4	0.12625	0.10500	 0.00625	104.100	68.687	1010000000100000	1
2024-11-16T18:01:00.000Z	10	2.180	5.128	4.4026E+00	25.00	13.15	4	0.12750	0.13125	-0.00375	115.300	68.599	1010000000100000	1
2024-11-16T18:31:00.000Z	10	2.290	5.000	4.6515E+00	25.00	13.15	4	0.12625	0.12000	-0.01750	109.700	68.643	1010000000100000	1
2024-11-16T19:02:00.000Z	10	2.220	4.938	2.6306E+00	25.00	13.15	4	0.12375	0.11750	-0.01875	104.100	68.730	1010000000100000	1
2024-11-16T19:31:00.000Z	10	2.350	5.128	3.6774E+00	25.00	13.15	4	0.12250	0.11375	-0.01750	 99.800	68.687	1010000000100000	1
2024-11-16T20:01:00.000Z	10	2.400	5.405	4.3370E+00	25.00	13.10	4	0.12375	0.11500	-0.03250	122.300	68.687	1010000000100000	1
2024-11-16T20:32:00.000Z	10	2.190	5.263	3.6226E+00	25.00	13.15	4	0.12500	0.12250	-0.01250	 80.200	68.774	1010000000100000	1
2024-11-16T21:01:00.000Z	10	2.310	5.333	3.3777E+00	25.00	13.10	4	0.12500	0.12000	-0.00375	 98.400	68.774	1010000000100000	1
2024-11-16T21:31:00.000Z	10	2.290	5.479	3.4287E+00	25.00	13.05	4	0.12625	0.11375	-0.00125	122.300	68.818	1010000000100000	1
2024-11-16T22:02:00.000Z	10	2.400	5.405	3.5155E+00	25.00	13.00	4	0.12625	0.11000	 0.00000	125.200	68.774	1010000000100000	1
2024-11-16T22:31:00.000Z	10	2.530	5.714	4.9145E+00	25.00	13.00	4	0.12625	0.10250	-0.00125	108.300	68.818	1010000000100000	1
2024-11-16T23:01:00.000Z	10	2.530	5.882	4.1049E+00	25.00	13.00	4	0.12625	0.11000	 0.00375	105.500	68.818	1010000000100000	1
2024-11-16T23:32:00.000Z	10	2.630	6.061	5.1151E+00	25.00	12.95	4	0.12625	0.09750	-0.00125	109.700	68.950	1010000000100000	1
